"3A_Code","Taxonomic_Code","Identifier","Name_En","Name_Fr","Name_Es","Name_Ar","Name_Cn","Name_Ru","Scientific_Name","Author","Major_Group","Yearbook_Group_En","Yearbook_Group_Fr","Yearbook_Group_Es","Yearbook_Group_Ar","Yearbook_Group_Cn","Yearbook_Group_Ru","ISSCAAP_Group_En","ISSCAAP_Group_Fr","ISSCAAP_Group_Es","ISSCAAP_Group_Ar","ISSCAAP_Group_Cn","ISSCAAP_Group_Ru","CPC_Class_En","CPC_Class_Fr","CPC_Class_Es","CPC_Class_Ar","CPC_Class_Cn","CPC_Class_Ru","CPC_Group_En","CPC_Group_Fr","CPC_Group_Es","CPC_Group_Ar","CPC_Group_Cn","CPC_Group_Ru"
"LAS","1020010XXXXX","2000","Lampreys nei","Lamproies nca","Lampreas nep","","","Миноговые","Petromyzontidae","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Miscellaneous diadromous fishes","Poissons diadromes divers","Peces diádromos diversos","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"LAR","102001000201","2002","River lamprey","Lamproie de rivière","Lamprea de río","","","Минога речная","Lampetra fluviatilis","(Linnaeus 1758)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Miscellaneous diadromous fishes","Poissons diadromes divers","Peces diádromos diversos","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"SBL","105002000201","2003","Bluntnose sixgill shark","Requin griset","Cañabota gris","","","","Hexanchus griseus","(Bonnaterre 1788)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"NTC","105002000301","2004","Broadnose sevengill shark","Platnez","Cañabota gata","","","","Notorynchus cepedianus","(Péron 1807)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"BSK","106007000101","2005","Basking shark","Pèlerin","Peregrino","","","Акула гигантская","Cetorhinus maximus","(Gunnerus 1765)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"CCT","106002000101","2006","Sand tiger shark","Requin taureau","Toro bacota","قِرش ثَور","锥齿鲨","","Carcharias taurus","Rafinesque 1810","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"THR","1060060001XX","2007","Thresher sharks nei","Renards de mer nca","Zorros nep","","","","Alopias spp","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"ALV","106006000101","2008","Thresher","Renard","Zorro","القرش الثّعلب","狐形长尾鲨","Лисица морская обыкновенная","Alopias vulpinus","(Bonnaterre 1788)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"PTH","106006000102","2009","Pelagic thresher","Renard pélagique","Zorro pelágico","","","","Alopias pelagicus","Nakamura 1935","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"MAK","1060080002XX","2010","Mako sharks","Taupes","Marrajos","السّنفقيات القرشيات","鲭鲨属未定种","","Isurus spp","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"SMA","106008000201","2011","Shortfin mako","Taupe bleue","Marrajo dientuso","","","Акула-мако","Isurus oxyrinchus","Rafinesque 1810","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"LMD","106008000303","2012","Salmon shark","Requin-taupe saumon","Marrajo salmón","","","","Lamna ditropis","Hubbs & Follett 1947","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"GNC","107007000901","2013","Nurse shark","Requin-nourrice","Gata nodriza","","","","Ginglymostoma cirratum","(Bonnaterre 1788)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"CVX","1080XXXXXXXX","2014","Ground sharks","","","","","","Carcharhiniformes","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"GAU","1080010005XX","2015","Crest-tail catsharks nei","Chiens galeus nca","Pintarrojas nep","","","","Galeus spp","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"SYC","108002000601","2016","Small-spotted catshark","Petite roussette","Pintarroja","غرَّاء مُبَقَّعة صغيرة","小点猫鲨","","Scyliorhinus canicula","(Linnaeus 1758)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"API","1080010001XX","2017","Deep-water catsharks","Holbiches","Pejegatos","أقراش المِياه العميقة","光尾鲨未定种","","Apristurus spp","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"BSH","108008000801","2018","Blue shark","Peau bleue","Tiburón azul","","","Акула синяя","Prionace glauca","(Linnaeus 1758)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"BLR","108008000122","2019","Blacktip reef shark","Requin pointes noires","Tiburón de puntas negras","","","","Carcharhinus melanopterus","(Quoy & Gaimard 1824)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"CCR","108008000126","2020","Smalltail shark","Requin tiqueue","Tiburón poroso","","","","Carcharhinus porosus","(Ranzani 1840)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"FAL","108008000112","2021","Silky shark","Requin soyeux","Tiburón jaquetón","","","","Carcharhinus falciformis","(Bibron 1839)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"BRO","108008000108","2022","Copper shark","Requin cuivre","Tiburón cobrizo","","","","Carcharhinus brachyurus","(Günther 1870)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"CCB","108008000109","2023","Spinner shark","Requin tisserand","Tiburón aleta negra","","","","Carcharhinus brevipinna","(Valenciennes 1839)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"CCM","108008000121","2024","Hardnose shark","Requin à nez rude","Tiburón trompudo","","","","Carcharhinus macloti","(Müller & Henle 1839)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"CCA","108008000103","2025","Bignose shark","Requin babosse","Tiburón baboso","","","","Carcharhinus altimus","(Springer 1950)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"NGB","108008000701","2026","Lemon shark","Requin citron","Tiburón galano","","","","Negaprion brevirostris","(Poey 1868)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"SPY","1080100XXXXX","2027","Hammerhead sharks, etc. nei","Requins marteau, etc. nca","Cornudas, etc. nep","","","","Sphyrnidae","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"SPL","108010000202","2028","Scalloped hammerhead","Requin-marteau halicorne","Cornuda común","","","","Sphyrna lewini","(Griffith & Smith 1834)","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
"SDV","1080060007XX","2029","Smooth-hounds nei","Émissoles nca","Tollos nep","","","","Mustelus spp","","PISCES","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras","","","","Other fish, live, fresh or chilled","","","","","","Fish live, fresh or chilled for human consumption","","","","",""
